Date,USD_to_Euro,USD_to_Rupee
2020-01-01,0.8914,71.321
2020-01-02,0.8952,71.3517
2020-01-03,0.896,71.7583
2020-01-04,0.896,71.7583
2020-01-05,0.8957,71.7612
2020-01-06,0.8933,71.7966
2020-01-07,0.8969,71.9664
2020-01-08,0.8999,71.444
2020-01-09,0.9002,71.1962
2020-01-10,0.8992,70.991
2020-01-11,0.8991,70.9577
2020-01-12,0.8995,70.9614
2020-01-13,0.8979,70.7271
2020-01-14,0.8987,70.8542
2020-01-15,0.8968,70.7246
2020-01-16,0.8979,70.9539
2020-01-17,0.9017,71.0409
2020-01-18,0.9016,71.0409
2020-01-19,0.9015,71.0508
2020-01-20,0.9012,71.0383
2020-01-21,0.902,71.2426
2020-01-22,0.9014,71.1104
2020-01-23,0.9046,71.3311
2020-01-24,0.9071,71.3263
2020-01-25,0.907,71.3283
2020-01-26,0.9068,71.3288
2020-01-27,0.9076,71.4513
2020-01-28,0.9073,71.2402
2020-01-29,0.9078,71.31
2020-01-30,0.9066,71.5695
2020-01-31,0.9012,71.4969
